,id,address,categories,city,postalCode,latitude,longitude,menus.amountMax,menus.amountMin,menus.name,menus.description,menus.dateSeen,province
0,AVwdRGa9_7pvs4fz4E3K,3703 Paxton Ave,"Restaurant,Pizza Place,Restaurants",Cincinnati,45209,39.144883,-84.43268499999999,6.49,6.49,Pizza Blanca,A saucelessampcomma double cheese pizza with a garlic accentampcomma served with tomatoes on a sesame seed crust,"2018-04-10T07:58:34.585Z,2018-04-21T05:43:21.445Z,2018-04-29T18:10:47.500Z",OH
1,AVwchRVZkufWRAb5wDIV,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Grand Rapids,49512,42.912878000000006,-85.566939,15.92,15.92,Prosciutto Arugula Pizza,Prosciutto arugula and shaved parmesan drizzled with balsamic glaze,"2018-04-26T21:25:35.237Z,2018-06-05T01:35:19.209Z,2018-05-01T09:33:47.530Z,2018-04-14T05:50:46.205Z,2018-04-03T00:06:02.516Z,2018-02-07T04:39:54.561Z,2018-05-22T00:49:40.466Z",MI
2,AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Glendora,91741,34.137502000000005,-117.86533100000001,11.5,11.5,Three Cheese Pizza,Topped with mozzarellaampcomma feta and ricotta,2018-05-11T22:26:10.666Z,CA
3,AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Glendora,91741,34.137502000000005,-117.86533100000001,7.0,7.0,Pizza Sandwich,Includes 1 toppingampcomma additional toppings for 075 each,2018-05-11T22:26:10.666Z,CA
4,AVwc2xOokufWRAb5zu4_,965 N Resler Dr,"Restaurant,Pizza Place,Restaurants",El Paso,79912,31.862409000000003,-106.558431,5.0,5.0,Hotnready Large Pizza,Pepperoni or cheese original round no limit carry out plus tax,"2018-05-14T18:17:05.194Z,2018-04-02T12:17:58.594Z,2018-06-26T17:02:42.789Z,2018-05-21T18:19:08.875Z,2018-05-09T10:57:23.022Z,2018-04-27T11:10:23.168Z,2018-05-04T14:07:36.125Z",TX
5,AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",DeLand,32720,29.046703000000004,-81.30381700000001,4.89,4.89,Pizza Sub,Pizza sauce pepperoni and mozzarella cheese,"2018-05-27T11:01:31.980Z,2018-02-01T11:57:40.007Z,2018-04-26T11:41:06.621Z,2018-04-21T23:58:29.358Z,2018-04-03T00:14:02.862Z",FL
6,AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,"Restaurant,Pizza Place,Restaurants",DeLand,32720,29.046703000000004,-81.30381700000001,5.0,5.0,Each 2Nd Pizza,2nd pizza of equal or lesser value,"2018-02-01T11:57:40.007Z,2018-04-26T11:41:06.621Z,2018-05-27T11:01:31.979Z,2018-04-21T23:58:29.357Z,2018-04-03T00:14:02.862Z",FL
7,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,11.75,11.75,12Ampquot White Pizza,Round white pie topped with fresh mozzarella ricotta and parmesan cheese,"2018-04-18T18:20:39.162Z,2018-05-07T19:36:54.129Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-04-13T03:25:13.719Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
8,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,19.25,19.25,16Ampquot Buffalo Chicken Pizza,Round pie topped with fresh mozzarella cheese and spicy chicken,"2018-04-18T18:20:39.162Z,2018-04-25T18:13:47.034Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z",NY
9,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,16.95,16.95,16Ampquot Margherita Pizza,Round pie with fresh mozzarella cheese and plum tomato sauce,"2018-04-18T18:20:39.162Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
10,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,12.5,12.5,12Ampquot Hawaiian Pizza,Round pie with fresh mozzarella cheese ham and pineapple,"2018-04-18T18:20:39.162Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
11,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,17.75,17.75,16Ampquot White Pizza,Round white pie topped with fresh mozzarella ricotta and parmesan cheese,"2018-04-18T18:20:39.162Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
12,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,11.75,11.75,12Ampquot Eggplant Pizza,Round pie with mozzarella cheese topped with tomato sauce eggplant and sprinkled with parmesan cheese,"2018-04-18T18:20:39.162Z,2018-05-07T19:36:54.129Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-04-13T03:25:13.719Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
13,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,12.5,12.5,12Ampquot Meat Lovers Pizza,Round pie with mozzarella cheese topped with tomato sauce ground beef pepperoni and sausage,"2018-04-18T18:20:39.162Z,2018-05-07T19:36:54.129Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
14,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,13.75,13.75,16Ampquot Cheese Pizza,Round pie topped with mozzarella cheese and tomato sauce,"2018-04-18T18:20:39.162Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
15,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,18.75,18.75,16Ampquot Veggie Pizza,Round pie topped with mushrooms spinach peppers onions and broccoli,"2018-04-18T18:20:39.162Z,2018-04-25T18:13:47.034Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z",NY
16,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,12.0,12.0,12Ampquot Bufalina Pizza,Tomato sauce and italian buffalo milk mozzarella,"2018-04-18T18:20:39.162Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
17,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,18.95,18.95,16Ampquot Sicilian Pizza,Square pie topped with mozzarella cheese and tomato sauce,"2018-04-18T18:20:39.162Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z,2018-04-25T18:13:47.033Z",NY
18,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,"Restaurant,Pizza Place Upper East Side,Pizza Place",New York,10075,40.770825,-73.95102,19.75,19.75,16Ampquot Chicken Parm Pizza,Round pie with breaded chicken ricotta cheese and plum tomato sauce,"2018-04-18T18:20:39.162Z,2018-04-25T18:13:47.034Z,2018-06-29T15:04:42.753Z,2018-02-14T04:35:16.512Z,2018-05-07T19:36:54.130Z,2018-04-13T03:25:13.720Z,2018-03-30T23:02:10.103Z,2018-05-21T04:16:14.092Z",NY
19,AVwcjjQ4kufWRAb5weHv,9600 San Jose Blvd,"Restaurant,Pizza Place",Jacksonville,32257,30.204576,-81.785252,7.99,7.99,Large 3 Topping Pizza,Carry out plus taxes,"2018-05-14T16:30:19.754Z,2018-04-02T09:43:20.295Z,2018-05-04T03:07:04.117Z,2018-06-26T16:58:43.603Z",FL
20,AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Poughkeepsie,12603,41.696049,-73.901679,4.99,4.99,All Meat Stuffed Pizza Slice,Pepperoni sausage mozzarella meatballs and bacon,"2018-01-30T11:23:12.996Z,2018-04-27T23:10:03.264Z",NY
21,AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Poughkeepsie,12603,41.696049,-73.901679,18.99,18.99,Hawaiian Pizza,Served with ham pineapple and extra cheese,"2018-01-30T11:23:12.996Z,2018-04-27T23:10:03.265Z",NY
22,AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Poughkeepsie,12603,41.696049,-73.901679,18.99,18.99,4Cheese Pizza,Provolone mozzarella fontina and parmigiana,"2018-01-30T11:23:12.996Z,2018-04-27T23:10:03.264Z",NY
23,AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Poughkeepsie,12603,41.696049,-73.901679,10.99,10.99,Gluten Free Cheese Pizza,Gluten free,"2018-01-30T11:23:12.995Z,2018-04-27T23:10:03.264Z",NY
24,AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Poughkeepsie,12603,41.696049,-73.901679,19.99,19.99,Vegetable Stuffed Pizza Pie,Broccoli spinach mushrooms tomatoes ricotta and mozzarella,"2018-01-30T11:23:12.996Z,2018-04-27T23:10:03.264Z",NY
25,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Tucson,85710,32.223015000000004,-110.82291299999999,8.99,8.99,Pizza Sub Deluxe,"Mozzarella cheese, pizza sauce and your choice of 3 toppings.",2015-10-23T01:27:00.000Z,AZ
26,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Pizza Place,Tucson,85710,32.223015000000004,-110.82291299999999,7.99,7.99,Pizza Sub,"Mozzarella cheese, pizza sauce and loaded with pepperoni.",2015-10-23T01:27:00.000Z,AZ
27,AV1h2sbCa4HuVbed7cM1,1612 Franklin St,"Restaurant,Pizza Place,Restaurants",Michigan City,46360,41.707275,-86.896541,12.05,12.05,Taco Pizza,Taco meat covered with cheese tomatoes and topped with shredded lettuce,"2018-05-07T13:37:09.233Z,2018-05-21T04:29:57.086Z,2018-04-11T06:46:53.912Z,2018-04-17T01:06:36.536Z,2018-04-18T19:18:25.275Z,2018-04-25T21:07:20.520Z",IN
28,AVwcu-Fk_7pvs4fzyYOQ,121 E Seneca St,"Pizza,Pizza Place,Restaurants",Sherrill,13461,43.076696000000005,-75.597597,1.5,1.5,Pizza Rolls,"Pepperoni, sausage or ham",2016-03-31T02:03:00.000Z,NY
29,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Pizza Place,Buffalo,14225,42.925755,-78.761238,22.49,22.49,Cheese Pizza,Sheet,"2016-03-23T04:05:00.000Z,2016-04-03T00:32:00.000Z",NY
30,AVweUktQByjofQCxxMCG,1608 W Friendly Ave,"Restaurant,Pizza Place Brice Street Area,Pizza Place",Greensboro,27403,36.075201,-79.814066,6.99,6.99,Pizza Sub,Loaded with extra cheeseampcomma pepperoni ampamp sauce,"2018-05-27T23:53:43.473Z,2018-05-22T00:40:23.719Z,2018-04-08T16:52:14.219Z,2018-02-04T16:54:00.118Z,2018-04-22T05:16:16.413Z,2018-06-16T19:07:55.305Z",NC
31,AVweUktQByjofQCxxMCG,1608 W Friendly Ave,"Restaurant,Pizza Place Brice Street Area,Pizza Place",Greensboro,27403,36.075201,-79.814066,9.99,9.99,Meat Eater Pizza,Pepperoniampcomma beefampcomma hamampcomma sausage and mozzarella cheese,"2018-05-27T23:53:43.473Z,2018-05-22T00:40:23.719Z,2018-04-08T16:52:14.219Z,2018-02-04T16:54:00.118Z,2018-04-22T05:16:16.413Z,2018-06-16T19:07:55.305Z",NC
32,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Garden Vegetarian Pizza Baking Required,Red sauce mozzarella mushrooms green peppers mixed onions black olives and roma tomatoes with cheddar mozzarella blend on top,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z",IA
33,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Medium Chicken Garlic Gluten Free Crust Pizza Baking Required,Creamy garlic sauce mozzarella chicken roma tomatoes green onions and herb and cheese blend on a gluten free crust,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-19T09:33:04.253Z,2018-04-08T08:29:30.728Z",IA
34,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Medium Cowboy Gluten Free Crust Pizza Baking Required,Red sauce mozzarella pepperoni italian sausage mushrooms olives and herb and cheese blend on a gluten free crust,"2018-05-14T14:34:34.795Z,2018-05-09T10:23:33.059Z,2018-04-19T09:33:04.253Z,2018-04-08T08:29:30.728Z",IA
35,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,15.0,15.0,Chicken Bacon Stuffed Pizza Baking Required,Creamy garlic sauce mozzarella chicken bacon roma tomatoes and mixed onions topped with roma tomatoes bacon and a blend of mozzarella and cheddar cheeses,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z",IA
36,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,10.0,10.0,Create Your Own Large Pizza Baking Required,Choose one of our fresh dough options then top your pizza with everyone39s favorite toppings with this custom madefromscratch pizza even the pickiest of eaters will be happy too,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-19T09:33:04.253Z,2018-04-08T08:29:30.728Z",IA
37,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Create Your Own Family Size Pizza Baking Required,Choose one of our fresh dough options then top your pizza with everyone39s favorite toppings with this custom madefromscratch pizza even the pickiest of eaters will be happy too,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-19T09:33:04.253Z,2018-04-08T08:29:30.728Z",IA
38,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,3.0,3.0,Mini Murph Cheese Pizza Baking Required,Make 39n bake pizza kit with an individual original crust red sauce and mozzarella,"2018-05-14T14:34:34.795Z,2018-04-08T08:29:30.728Z,2018-04-19T09:33:04.254Z,2018-05-09T10:23:33.060Z",IA
39,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,14.0,14.0,Medium Murphy39S Combo Gluten Free Crust Pizza Baking Required,Red sauce mozzarella salami pepperoni italian sausage mushrooms mixed onions and olives on a gluten free crust,"2018-05-14T14:34:34.795Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z,2018-04-19T09:33:04.254Z",IA
40,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Cowboy Pizza Baking Required,Red sauce mozzarella pepperoni italian sausage mushrooms olives and herb and cheese blend recommended on an original crust,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z",IA
41,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,10.0,10.0,Create Your Own Medium Gluten Free Crust Pizza Baking Required,Enjoy your own creation on a glutenfree crust topped with everyone39s favorite toppings with this custom madefromscratch pizza even the pickiest of eaters will be happy too,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-19T09:33:04.253Z,2018-04-08T08:29:30.728Z",IA
42,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Greek Pepperoni Pizza Baking Required,Red sauce mozzarella spinach black olives roma tomatoes pepperoni feta cheese and zesty herb blend,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z",IA
43,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,5.0,5.0,S39Mores Pizza,Fresh dough chocolate chips mini marshmallows and crisp topping,"2018-05-14T14:34:34.795Z,2018-04-08T08:29:30.728Z,2018-04-19T09:33:04.254Z,2018-05-09T10:23:33.060Z",IA
44,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,13.0,13.0,Chicken Garlic Pizza Baking Required,Creamy garlic sauce mozzarella chicken roma tomatoes green onions and herb and cheese blend recommended on an original crust,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z",IA
45,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,"Restaurant,Pizza Place",Iowa City,52240,41.649871000000005,-91.501576,11.5,11.5,Hawaiian Pizza Baking Required,Red sauce mozzarella canadian bacon and pineapple recommended on an original crust,"2018-05-14T14:34:34.794Z,2018-05-09T10:23:33.059Z,2018-04-08T08:29:30.728Z",IA
46,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Charlotte,28227,35.172024,-80.70837900000001,14.95,14.95,Vitello Alla Pizzaiola,"Veal scaloppine sauteed in olive oil with fresh mushrooms, capers, olives and marinara sauce.",2016-06-20T15:43:12Z,NC
47,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Charlotte,28227,35.172024,-80.70837900000001,12.95,12.95,White Pizza,"Ricotta, mozzarella and fresh garlic.",2016-06-20T15:43:12Z,NC
48,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Good Boy Pizza Gluten Free,Pesto sauce pesto chicken and spinach,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
49,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Bulldog Pizza Gluten Free,Pepperoni sausage mushrooms tomatoes roasted garlic ricotta and fresh basil,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
50,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Basset Hound Pizza,Spinach pepperoni red onions sausage roasted garlic and feta cheese,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
51,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Loaded Baked Potato Pizza,White sauce thinly sliced roasted potatoes cheddar cheese bacon green onions tomatoes and a swirl of sour cream,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
52,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Thai39D Up Pizza Gluten Free,Thai peanut sauce sweet chili chicken red onions green onions and cilantro,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
53,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Muzzarella Pizza,Seasoned tomatoes fresh mozzarella topped with fresh basil and garlic infused olive oil,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
54,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Bowzer39S Hula Supreme Pizza Gluten Free,Canadian bacon pineapple pepperoni red onions sausage green peppers and roasted garlic,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
55,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Bark Pizza Gluten Free,Creamy garlic sauce spinach mushrooms and roasted garlic,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
56,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Bad Boy Pizza,Pepperoni mushrooms artichoke hearts and a pesto swirl,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
57,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Bowzer39S Favorite Pizza Gluten Free,Pepperoni sausage salami ground beef and linguica,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
58,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Bruschetta Pizza,Creamy garlic sauce spinach topped with seasoned tomatoes basil and garlic,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
59,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,All Aboard Veggie Pizza,Mushrooms onions green peppers black olives and tomatoes,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
60,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Backyard Bbq Pizza,Bbq sauce bbq chicken onions tomatoes and fresh cilantro,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
61,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,14.0,14.0,Gluten Free Crust Pizza,Served only with cheese gluten free,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
62,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,All Aboard Veggie Pizza Gluten Free,Mushrooms onions green peppers black olives and tomatoes,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
63,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Garden Gourmet Pizza Gluten Free,Creamy garlic sauce spinach zucchini mushrooms tomatoes red onions artichoke hearts and roasted garlic topped with freshly grated parmesan,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
64,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Bowzer39S Supreme Pizza Gluten Free,Pepperoni salami sausage mushrooms onions green peppers and black olives,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
65,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,20.0,20.0,Bowzer39S Garden Pizza Gluten Free,Zucchini fresh tomatoes spinach and feta,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
66,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Bowzer39S Supreme Pizza,Pepperoni salami sausage mushrooms onions green peppers and black olives,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
67,AVwejfkbIN2L1WUf6CVf,1330 Park St,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Alameda,94501,37.763389000000004,-122.243626,22.0,22.0,Pesto Presto Pizza,Pesto sauce spinach feta and sun dried tomatoes,"2018-06-12T12:06:52.827Z,2018-05-04T18:57:44.449Z,2018-02-03T05:14:10.523Z",CA
68,AVwdmw5ckufWRAb57ikr,321 W San Francisco St,"Pizza,Pizza Place,Restaurants",Santa Fe,87501,35.688306,-105.94262900000001,6.25,6.25,Pizza Margherita,"Marinara sauce , mozzarella , fresh basil .",2016-12-29T18:03:56Z,NM
